instrumento;aplicacao;serie;disciplina;questao;codigo_v7;codigo_v8;descritor_imagem;descricao_v8;arquivo;pagina
Minitestes;1;9º Ano;Língua Portuguesa;4;D12;D13;D13;IDENTIFICAR AS MARCAS LINGUÍSTICAS QUE EVIDENCIAM O LOCUTOR E O INTERLOCUTOR DE UM TEXTO.;1º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;2
Minitestes;1;9º Ano;Língua Portuguesa;11;D6;D12;D12;IDENTIFICAR A FINALIDADE DE TEXTOS DE DIFERENTES GÊNEROS.;1º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;5
Minitestes;1;1ª Série;Língua Portuguesa;5;D18;D04;D04;INFERIR UMA INFORMAÇÃO IMPLÍCITA EM UM TEXTO.;1º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;3
Minitestes;1;1ª Série;Língua Portuguesa;11;D6;D13;D13;IDENTIFICAR AS MARCAS LINGUÍSTICAS QUE EVIDENCIAM O LOCUTOR E O INTERLOCUTOR DE UM TEXTO.;1º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;6
Minitestes;1;2ª Série;Língua Portuguesa;11;D9;D05;D05;INTERPRETAR TEXTO COM AUXÍLIO DE MATERIAL GRÁFICO DIVERSO.;1º MINITESTE - LP - 2ª SÉRIE EM - COMENTADO.pdf;10
Minitestes;1;3ª Série;Língua Portuguesa;1;D1;D06;D06;IDENTIFICAR O TEMA DE UM TEXTO.;1º MINITESTE - LP - 3ª SÉRIE EM - COMENTADO.pdf;1
Minitestes;1;3ª Série;Língua Portuguesa;5;D2;D21;D21;RECONHECER POSIÇÕES DISTINTAS ENTRE DUAS OU MAIS OPINIÕES RELATIVAS AO MESMO FATO OU TEMA.;1º MINITESTE - LP - 3ª SÉRIE EM - COMENTADO.pdf;4
Minitestes;1;3ª Série;Língua Portuguesa;9;D3;D01;D01;LOCALIZAR INFORMAÇÕES EXPLÍCITAS EM UM TEXTO.;1º MINITESTE - LP - 3ª SÉRIE EM - COMENTADO.pdf;7
Minitestes;1;3ª Série;Língua Portuguesa;10;D3;D01;D01;LOCALIZAR INFORMAÇÕES EXPLÍCITAS EM UM TEXTO.;1º MINITESTE - LP - 3ª SÉRIE EM - COMENTADO.pdf;8
Minitestes;1;3ª Série;Língua Portuguesa;12;D3;D02;D02;ESTABELECER RELAÇÕES ENTRE PARTES DE UM TEXTO, IDENTIFICANDO REPETIÇÕES OU SUBSTITUIÇÕES.;1º MINITESTE - LP - 3ª SÉRIE EM - COMENTADO.pdf;9
Minitestes;2;9º Ano;Língua Portuguesa;3;D12;D13;D13;IDENTIFICAR AS MARCAS LINGUÍSTICAS QUE EVIDENCIAM O LOCUTOR E O INTERLOCUTOR DE UM TEXTO.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;2
Minitestes;2;9º Ano;Língua Portuguesa;4;D12;D20;D20;RECONHECER DIFERENTES FORMAS DE TRATAR UMA INFORMAÇÃO NA COMPARAÇÃO DE TEXTOS.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;3
Minitestes;2;9º Ano;Língua Portuguesa;5;D13;D04;D04;INFERIR UMA INFORMAÇÃO IMPLÍCITA EM UM TEXTO.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;4
Minitestes;2;9º Ano;Língua Portuguesa;6;D13;D12;D12;IDENTIFICAR A FINALIDADE DE TEXTOS DE DIFERENTES GÊNEROS.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;5
Minitestes;2;9º Ano;Língua Portuguesa;9;;D04;D04;INFERIR UMA INFORMAÇÃO IMPLÍCITA EM UM TEXTO.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;7
Minitestes;2;9º Ano;Língua Portuguesa;10;;D12;D12;IDENTIFICAR A FINALIDADE DE TEXTOS DE DIFERENTES GÊNEROS.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;8
Minitestes;2;9º Ano;Língua Portuguesa;11;;D13;D13;IDENTIFICAR AS MARCAS LINGUÍSTICAS QUE EVIDENCIAM O LOCUTOR E O INTERLOCUTOR DE UM TEXTO.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;8
Minitestes;2;9º Ano;Língua Portuguesa;12;;D20;D20;RECONHECER DIFERENTES FORMAS DE TRATAR UMA INFORMAÇÃO NA COMPARAÇÃO DE TEXTOS.;2º MINITESTE - LP - 9º ANO EF - COMENTADO.pdf;9
Minitestes;2;9º Ano;Matemática;1;D17;D18 EF;D18;EFETUAR CÁLCULOS COM NÚMEROS INTEIROS ENVOLVENDO AS OPERAÇÕES.;2º MINITESTE - MAT - 9º ANO EF - COMENTADO.pdf;1
Minitestes;2;9º Ano;Matemática;2;D17;D18 EF;D18;EFETUAR CÁLCULOS COM NÚMEROS INTEIROS ENVOLVENDO AS OPERAÇÕES.;2º MINITESTE - MAT - 9º ANO EF - COMENTADO.pdf;1
Minitestes;2;9º Ano;Matemática;5;D18;D25 EF;D25;EFETUAR CÁLCULOS QUE ENVOLVAM OPERAÇÕES COM NÚMEROS RACIONAIS.;2º MINITESTE - MAT - 9º ANO EF - COMENTADO.pdf;3
Minitestes;2;9º Ano;Matemática;7;D21;D17 EF;D17;IDENTIFICAR A LOCALIZAÇÃO DE NÚMEROS RACIONAIS NA RETA NUMÉRICA.;2º MINITESTE - MAT - 9º ANO EF - COMENTADO.pdf;4
Minitestes;2;9º Ano;Matemática;8;D21;D17 EF;D17;IDENTIFICAR A LOCALIZAÇÃO DE NÚMEROS RACIONAIS NA RETA NUMÉRICA.;2º MINITESTE - MAT - 9º ANO EF - COMENTADO.pdf;5
Minitestes;2;1ª Série;Língua Portuguesa;3;D13;D17;D17;RECONHECER O EFEITO DE SENTIDO DECORRENTE DO USO DA PONTUAÇÃO E DA OUTRAS NOTAÇÕES.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;2
Minitestes;2;1ª Série;Língua Portuguesa;4;D13;D17;D17;RECONHECER O EFEITO DE SENTIDO DECORRENTE DO USO DA PONTUAÇÃO E DA OUTRAS NOTAÇÕES.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;3
Minitestes;2;1ª Série;Língua Portuguesa;5;D17;D19;D19;RECONHECER O EFEITO DE SENTIDO DECORRENTE DA EXPLORAÇÃO DE RECURSOS ORTOGRÁFICOS E/OU MORFOSSINTÁTICOS.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;3
Minitestes;2;1ª Série;Língua Portuguesa;6;D17;D13;D13;IDENTIFICAR AS MARCAS LINGUÍSTICAS QUE EVIDENCIAM O LOCUTOR E O INTERLOCUTOR DE UM TEXTO.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;4
Minitestes;2;1ª Série;Língua Portuguesa;7;D17;D13;D13;IDENTIFICAR AS MARCAS LINGUÍSTICAS QUE EVIDENCIAM O LOCUTOR E O INTERLOCUTOR DE UM TEXTO.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;5
Minitestes;2;1ª Série;Língua Portuguesa;9;D19;D17;D17;RECONHECER O EFEITO DE SENTIDO DECORRENTE DO USO DA PONTUAÇÃO E DA OUTRAS NOTAÇÕES.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;6
Minitestes;2;1ª Série;Língua Portuguesa;10;D19;D20;D20;RECONHECER DIFERENTES FORMAS DE TRATAR UMA INFORMAÇÃO NA COMPARAÇÃO DE TEXTOS.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;7
Minitestes;2;1ª Série;Língua Portuguesa;11;D19;D13;D13;IDENTIFICAR AS MARCAS LINGUÍSTICAS QUE EVIDENCIAM O LOCUTOR E O INTERLOCUTOR DE UM TEXTO.;2º MINITESTE - LP - 1ª SÉRIE EM - COMENTADO.pdf;8
